timestamp,machine_id,temperature,vibration,humidity,pressure,energy_consumption,machine_status,anomaly_flag,predicted_remaining_life,failure_type,downtime_risk,maintenance_required
2025-01-01 00:00:00,39,78.61,28.65,79.96,3.73,2.16,1,0,106,Normal,0.0,0
2025-01-01 00:01:00,29,68.19,57.28,35.94,3.64,0.69,1,0,320,Normal,0.0,0
2025-01-01 00:02:00,15,98.94,50.2,72.06,1.0,2.49,1,1,19,Normal,1.0,1
2025-01-01 00:03:00,43,90.91,37.65,30.34,3.15,4.96,1,1,10,Normal,1.0,1
2025-01-01 00:04:00,8,72.32,40.69,56.71,2.68,0.63,2,0,65,Vibration Issue,0.0,1
2025-01-01 00:05:00,21,70.88,38.38,51.01,3.19,3.24,1,0,381,Normal,0.0,0
2025-01-01 00:06:00,39,73.05,40.7,61.59,2.35,1.63,1,0,470,Normal,0.0,0
2025-01-01 00:07:00,19,90.0,56.52,48.32,3.3,3.3,1,0,136,Normal,0.0,0
2025-01-01 00:08:00,23,96.04,24.98,50.47,1.59,3.08,1,1,38,Normal,1.0,1
2025-01-01 00:09:00,11,55.33,49.29,33.85,2.14,3.74,0,0,190,Normal,0.0,0
2025-01-01 00:10:00,11,88.37,64.76,45.96,3.92,4.56,1,0,107,Normal,0.0,0
2025-01-01 00:11:00,24,72.11,64.04,59.26,4.71,1.32,1,0,328,Normal,0.0,0
2025-01-01 00:12:00,36,66.77,64.09,74.44,1.39,1.46,1,0,191,Normal,0.0,0
2025-01-01 00:13:00,40,86.18,32.36,55.08,1.42,4.16,2,0,161,Overheating,0.0,1
2025-01-01 00:14:00,24,75.82,39.06,43.64,3.53,4.86,1,0,249,Normal,0.0,0
2025-01-01 00:15:00,3,88.68,87.77,49.77,1.25,4.45,1,1,38,Normal,1.0,1
2025-01-01 00:16:00,22,84.52,28.09,45.96,2.81,3.36,1,0,127,Normal,0.0,0
2025-01-01 00:17:00,2,78.32,84.93,51.55,2.59,2.09,1,1,43,Normal,1.0,1
2025-01-01 00:18:00,24,91.23,29.83,41.12,4.63,4.97,1,1,34,Normal,1.0,1
2025-01-01 00:19:00,44,73.48,51.3,69.85,3.38,3.42,1,0,51,Normal,0.0,0
2025-01-01 00:20:00,30,64.03,63.46,65.56,2.02,4.17,1,0,445,Normal,0.0,0
2025-01-01 00:21:00,38,94.18,40.98,36.73,2.01,2.28,1,1,34,Normal,1.0,1
2025-01-01 00:22:00,2,72.63,54.66,32.72,3.07,2.97,1,0,462,Normal,0.0,0
2025-01-01 00:23:00,21,76.73,34.86,32.64,3.31,1.65,2,0,433,Vibration Issue,0.0,1
2025-01-01 00:24:00,33,69.38,56.62,68.21,1.52,1.39,1,0,41,Normal,0.0,0
2025-01-01 00:25:00,12,76.01,40.21,59.8,4.28,1.63,1,0,181,Normal,0.0,0
2025-01-01 00:26:00,22,78.2,67.54,68.1,3.44,2.63,1,0,19,Normal,0.0,1
2025-01-01 00:27:00,44,63.88,53.75,68.01,1.87,2.84,1,0,11,Normal,0.0,1
2025-01-01 00:28:00,25,64.1,48.0,51.0,4.52,4.54,1,0,231,Normal,0.0,0
2025-01-01 00:29:00,49,66.17,48.3,74.99,2.21,1.94,2,0,286,Normal,0.0,1
2025-01-01 00:30:00,27,73.73,61.02,51.34,1.28,2.8,2,0,468,Pressure Drop,0.0,1
2025-01-01 00:31:00,42,79.33,52.54,49.11,2.75,1.23,1,0,324,Normal,0.0,0
2025-01-01 00:32:00,28,87.96,53.87,68.93,1.79,3.69,1,0,433,Normal,0.0,0
2025-01-01 00:33:00,16,99.5,46.89,79.74,4.41,3.67,1,1,41,Normal,1.0,1
2025-01-01 00:34:00,15,76.8,55.46,33.91,2.52,3.22,1,0,148,Normal,0.0,0
2025-01-01 00:35:00,47,70.49,59.54,65.34,3.1,1.88,0,0,426,Normal,0.0,0
2025-01-01 00:36:00,44,51.2,51.25,68.35,1.05,2.27,1,0,214,Normal,0.0,0
2025-01-01 00:37:00,3,77.59,58.72,62.55,3.4,0.88,1,0,138,Normal,0.0,0
2025-01-01 00:38:00,37,73.3,27.21,56.6,3.31,2.54,1,0,172,Normal,0.0,0
2025-01-01 00:39:00,7,71.43,22.92,36.7,2.2,1.1,1,0,245,Normal,0.0,0
2025-01-01 00:40:00,21,68.43,57.68,51.61,2.53,2.87,0,0,21,Normal,0.0,0
2025-01-01 00:41:00,9,68.74,43.34,30.73,2.26,1.41,1,0,136,Normal,0.0,0
2025-01-01 00:42:00,39,78.29,39.54,36.67,3.31,4.44,1,0,298,Normal,0.0,0
2025-01-01 00:43:00,18,81.42,50.89,31.1,4.88,2.06,2,0,482,Overheating,0.0,1
2025-01-01 00:44:00,4,74.74,67.02,62.18,1.47,3.16,1,0,182,Normal,0.0,0
2025-01-01 00:45:00,25,82.87,43.56,40.24,3.88,3.89,1,0,290,Normal,0.0,0
2025-01-01 00:46:00,14,87.87,53.7,61.73,1.05,4.29,1,0,274,Normal,0.0,0
2025-01-01 00:47:00,50,74.07,40.16,48.02,3.59,1.15,1,0,84,Normal,0.0,0
2025-01-01 00:48:00,9,87.23,34.52,69.53,2.84,4.15,1,0,252,Normal,0.0,0
2025-01-01 00:49:00,26,65.48,52.79,79.91,4.7,4.19,1,0,52,Normal,0.0,0
2025-01-01 00:50:00,2,77.9,25.44,75.39,4.32,2.15,1,0,215,Normal,0.0,0
2025-01-01 00:51:00,20,71.17,28.69,37.5,1.97,2.13,1,0,62,Normal,0.0,0
2025-01-01 00:52:00,28,79.91,34.26,30.48,4.77,2.29,1,0,94,Normal,0.0,0
2025-01-01 00:53:00,47,53.44,44.55,37.44,1.36,0.69,1,0,223,Normal,0.0,0
2025-01-01 00:54:00,7,86.77,46.53,54.98,3.12,4.96,1,0,311,Normal,0.0,0
2025-01-01 00:55:00,44,74.52,58.27,32.55,1.6,1.51,1,0,340,Normal,0.0,0
2025-01-01 00:56:00,8,79.34,49.78,32.06,4.32,3.11,1,0,390,Normal,0.0,0
2025-01-01 00:57:00,47,67.14,45.96,31.58,1.29,3.17,0,0,239,Normal,0.0,0
2025-01-01 00:58:00,35,91.69,67.85,36.84,2.88,4.53,1,1,23,Normal,1.0,1
2025-01-01 00:59:00,14,78.45,34.43,47.17,4.18,4.35,0,0,490,Normal,0.0,0
2025-01-01 01:00:00,17,71.2,47.66,70.6,3.5,1.53,1,0,269,Normal,0.0,0
2025-01-01 01:01:00,36,54.03,45.08,70.4,3.95,1.03,0,0,230,Normal,0.0,0
2025-01-01 01:02:00,50,71.52,46.58,40.45,2.34,1.17,2,0,222,Overheating,0.0,1
2025-01-01 01:03:00,40,51.81,42.04,58.43,3.12,2.28,1,0,472,Normal,0.0,0
2025-01-01 01:04:00,4,76.28,24.34,34.01,4.27,1.05,1,0,28,Normal,0.0,0
2025-01-01 01:05:00,2,80.91,39.63,45.18,3.38,1.84,0,0,100,Normal,0.0,0
2025-01-01 01:06:00,6,82.09,65.62,38.92,2.82,3.86,2,0,159,Overheating,0.0,1
2025-01-01 01:07:00,42,66.42,73.41,32.2,4.6,0.53,1,0,16,Normal,0.0,1
2025-01-01 01:08:00,4,68.67,31.55,52.29,3.34,2.71,1,0,227,Normal,0.0,0
2025-01-01 01:09:00,29,74.07,47.1,78.4,4.64,3.06,1,0,335,Normal,0.0,0
2025-01-01 01:10:00,18,69.53,20.19,63.27,2.58,0.87,2,0,398,Pressure Drop,0.0,1
2025-01-01 01:11:00,26,58.4,66.31,35.52,4.95,4.67,1,0,20,Normal,0.0,0
2025-01-01 01:12:00,44,68.8,42.16,37.09,2.27,2.73,1,0,327,Normal,0.0,0
2025-01-01 01:13:00,34,78.99,91.58,57.84,3.32,4.15,1,1,5,Normal,1.0,1
2025-01-01 01:14:00,10,70.4,74.14,34.53,1.1,4.23,1,0,91,Normal,0.0,0
2025-01-01 01:15:00,36,72.65,42.35,70.8,4.8,4.82,1,0,352,Normal,0.0,0
2025-01-01 01:16:00,14,69.8,73.06,79.94,2.88,3.58,1,0,433,Normal,0.0,0
2025-01-01 01:17:00,31,98.42,54.64,69.53,3.22,2.09,1,1,3,Normal,1.0,1
2025-01-01 01:18:00,48,76.25,36.09,39.46,3.44,2.92,1,0,111,Normal,0.0,0
2025-01-01 01:19:00,15,77.24,57.09,65.7,4.66,4.91,2,0,35,Normal,0.0,1
2025-01-01 01:20:00,8,69.29,49.79,58.4,1.73,1.32,1,0,271,Normal,0.0,0
